filerange 65504 65511
rangestart 65504 65511

// Subtitles
65504	We have repaired the damage incurred by the Turanic Raiders.
65505	Combat and sensor systems returning to optimal functionality.
65506	I can't believe this happened.
65507	Our first hyperdrive test led to near genocide.
65508	Kharak... destroyed.
65509	All of us, all that's left, hunted by two alien races...
65510	We must focus on the matter at hand: elimination of the fleet that destroyed our world.
65511	Coming up on hyperspace coordinates.

rangeend
